timestamp,X,CS,U
386.5,"[3.9290991151610757, 45.249841152512765, -132.57256219312893, 3.1000912019227123, -0.4803507700438892, 0.05973073331143547]","[-128.6224552112078, 3.137085004031667]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5552033962683698, 0.3000000456212172, 0.9999999973340874, 0.19999995954830435]"
387.0,"[3.9290930893615696, 45.24983259618131, -132.54269682647322, 3.1003160707999164, -0.4825266785600389, 0.05307353663384144]","[-128.61965333640322, 3.137641109875764]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5677033962683697, 0.31250004562121725, 0.9999999973340874, 0.18749995954830434]"
387.5,"[3.9290870638079483, 45.24982403741418, -132.5161600581563, 3.100539844874126, -0.48484636110948315, 0.046374978590981025]","[-128.61088222111366, 3.1382197697951586]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5802033962683698, 0.32500004562121726, 0.9999999973340874, 0.17499995954830433]"
388.0,"[3.929081039344678, 45.2498154755308, -132.4929725688608, 3.1007625545143553, -0.4873055955126826, 0.03963051860884842]","[-128.5961996875976, 3.138820664341364]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5927033962683698, 0.33750004562121727, 0.9999999973340874, 0.16249995954830432]"
388.5,"[3.9290750168091724, 45.24980690985783, -132.47315730955637, 3.1009842293635534, -0.48990004096216083, 0.03283541132567902]","[-128.5756635798966, 3.1394434603757717]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.6052033962683698, 0.3500000456212173, 0.9999999973340874, 0.1499999595483043]"
389.0,"[3.9290689970320414, 45.2497983397294, -132.45673960389354, 3.101204898332518, -0.4926252389663606, 0.025984710689387677]","[-128.54933163023387, 3.1400878088850104]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.6177033962683698, 0.3625000456212173, 0.9999999973340874, 0.1374999595483043]"
389.5,"[3.9290629808373607, 45.2497897644874, -132.44374724854885, 3.101424589594054, -0.495476614279553, 0.01907327394288958]","[-128.51726132740333, 3.1407533427884107]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.6302033962683697, 0.37500004562121725, 0.9999999973340874, 0.12499995954830431]"
390.0,"[3.929056969042964, 45.2497811834817, -132.43421061157738, 3.1016403512971578, -0.49836531542681556, 0.011844436421137106]","[-128.47950978729662, 3.141423380637386]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.6177033962683698, 0.3875000456212173, 0.999999995020303, 0.11249995954830434]"
390.5,"[3.9290509622650593, 45.24977259627215, -132.42828839336684, 3.101855213802355, -0.5013374483897668, 0.004484292765711222]","[-128.43764054220733, 3.142108369320004]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.6052033962683698, 0.4000000456212173, 0.999999995020303, 0.09999995954830437]"
391.0,"[3.929044961248788, 45.24976400228904, -132.426046246984, 3.102069199064158, -0.5043981130719392, -0.002992811120001216]","[-128.39067434763567, 3.1428093757422]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5927033962683698, 0.41250004562121734, 0.999999995020303, 0.0874999595483044]"
