timestamp,X,CS,U
2550.0,"[51.277079371289744, 4.222859117134753, -59.76192643609532, 1.7018010475190644, -0.0502791065403639, 0.06461501729120075]","[151.4860421859928, 1.702543624666188]","[0.5297098996300775, 0.459802633462287, 0.5039625977218248, 0.9999999951440277, -4.855963488457706e-09, 0.9999999951316828, 1.0000000048683098]"
2555.0,"[51.27711668486364, 4.2227546994870515, -59.42069596784421, 1.6458665625791071, -0.046729620900121435, 0.0729372876491859]","[151.09204191799094, 1.6465298051615813]","[0.48190147116025545, 0.4545389300020454, 0.5041871610592553, 0.9999999951348619, -4.8651309171786144e-09, 0.9999999951232624, 1.0000000048767315]"
2560.0,"[51.277153270073285, 4.222654161358764, -59.034951103323294, 1.5905530140196562, -0.04221137171093668, 0.08253421376193053]","[150.60759743814515, 1.5911130350508513]","[0.43358214342916307, 0.44855941541700334, 0.5044726464590754, 0.9999999951246473, -4.875346713641348e-09, 0.9999999951138943, 1.0000000048861006]"
2565.0,"[51.277189036323975, 4.2225578353332365, -58.59783038399375, 1.526132870363492, -0.03816387020196201, 0.09331475767453552]","[150.0871577774622, 1.5266099760556733]","[0.3792722563185467, 0.44208427045060666, 0.5050887489640873, 0.9999999951130555, 0.04999999512465325, 0.9999999951032278, 0.9500000048861007]"
2570.0,"[51.27722381587629, 4.222465969883042, -58.15276195990209, 1.4599169869298698, -0.03878732159613435, 0.07545552010592307]","[149.687918473249, 1.4604321500990698]","[0.3204607806906588, 0.4340197372454102, 0.5, 0.9999999951004988, 0.5499999951246534, 0.9999999950916496, 0.45000000488610054]"
2575.0,"[51.27725713653215, 4.222378408358811, -57.90024387600118, 1.3932287501108271, -0.047579358980494924, 0.012306241976410745]","[149.8109466264644, 1.394040941126326]","[0.24721317378527585, 0.42116972767117966, 0.5, 0.9999999950848409, 1.0000000049151563, 0.9999999950771917, -4.922805813783222e-09]"
2580.0,"[51.277288576198366, 4.222294392970294, -58.00234691854526, 1.3259481099399164, -0.05912679006025368, -0.058081900820799844]","[150.46642671913696, 1.3272657486562613]","[0.17757629699773714, 0.3711697276711797, 0.5, 0.9999999950598196, 1.000000004940178, 0.9999999950540728, -4.94592533595295e-09]"
2585.0,"[51.2773176101506, 4.222214034527388, -58.431500999716356, 1.249889713546787, -0.07037840020382342, -0.1182902297593439]","[151.52384953092533, 1.2518695679843483]","[0.22589562472882954, 0.3494222094958255, 0.5, 0.9999999950595521, 1.000000004940446, 0.9999999950538263, -4.946172281274285e-09]"
2590.0,"[51.27734381209804, 4.222137624511253, -59.146814190419356, 1.1672198845534891, -0.08167751385146726, -0.17254875000256736]","[152.9823329763133, 1.1700741323377837]","[0.3362836906150307, 0.34266227609540045, 0.5, 0.9999999950832186, 1.00000000491678, 0.9999999950756968, -4.924301918610549e-09]"
2595.0,"[51.27736686480384, 4.222065407232797, -60.125993435814294, 1.0786546497316218, -0.09391283880864477, -0.22405164222716736]","[154.88137600896604, 1.0827351821570896]","[0.3910672573815665, 0.33807059407754114, 0.5, 0.9999999950963548, 1.000000004903644, 0.9999999950878229, -4.912176062735593e-09]"
2600.0,"[51.277386517260034, 4.221997599309383, -61.36113140663933, 0.9883811167841956, -0.10720842571465128, -0.2751452671025447]","[157.28297576228198, 0.9941784943156775]","[0.4212760061093838, 0.33474461472933714, 0.5, 0.9999999951052595, 1.0000000048947395, 0.9999999950960433, -4.903955892159624e-09]"
2605.0,"[51.27740270857361, 4.221934159381414, -62.852770264378464, 0.9008429251744491, -0.12106516509464324, -0.3268233217216848]","[160.18429139182135, 0.9089415547967049]","[0.4451172992069476, 0.33211969142674025, 0.5, 0.9999999951117051, 1.000000004888294, 0.9999999951019891, -4.8980101720528884e-09]"
2610.0,"[51.27741534835511, 4.221875193973089, -64.60574372350322, 0.8104485159116183, -0.1372455965872326, -0.38004236252904233]","[163.81959111377756, 0.8219873178619789]","[0.4614578420989712, 0.33032059975671174, 0.5, 0.9999999951167927, 1.0000000048832063, 0.9999999951066764, -4.89332296904621e-09]"
2615.0,"[51.27742434455178, 4.221820899148343, -66.62962403805841, 0.7225503426805618, -0.15475883823709638, -0.435381267800125]","[168.24458335235443, 0.7389379511977261]","[0.47251488300559924, 0.3291032209754896, 0.5, 0.9999999951203091, 1.0000000048796902, 0.9999999951098858, -4.890113710790242e-09]"
2620.0,"[51.27742980652576, 4.221771229480739, -68.9337767697706, 0.6397032984849641, -0.17275141378960962, -0.4921206882647625]","[173.47750621867627, 0.6626185637747044]","[0.47950079998155765, 0.3283340724152415, 0.5, 0.9999999951226818, 1.0000000048773177, 0.9999999951120563, -4.8879432247771e-09]"
2625.0,"[51.27743188135496, 4.2217261781190825, -71.52320956919459, 0.5607404861694857, -0.19168052469262015, -0.5494436131405601]","[179.71938599375184, 0.5925970944714708]","[0.4817396464370423, 0.3280875757085455, 0.5, 0.9999999951241596, 1.0000000048758397, 0.9999999951134275, -4.886572099341688e-09]"
2630.0,"[51.27743071571884, 4.221685842252778, -74.39934429319274, 0.48550720727763685, -0.21137894072305247, -0.6066698648998609]","[-172.89690924237115, 0.5295264912161902]","[0.47879655769414625, 0.32841160939998176, 0.5, 0.9999999950478455, 1.0000000049521542, 0.9999999950419278, -4.958071968858796e-09]"
2635.0,"[51.27742649784456, 4.221650348109439, -77.5601751943039, 0.4151338525942297, -0.23173601886779258, -0.66308902369988]","[-164.2361806542161, 0.4754342204873578]","[0.47048236122605086, 0.329327001361374, 0.5, 0.9999999950475987, 1.000000004952401, 0.9999999950417118, -4.958288065840374e-09]"
2640.0,"[51.27741924754731, 4.221620042834364, -81.0014078030859, 0.3418635214019748, -0.2600992305750902, -0.7188831781028702]","[-152.8743868104722, 0.42956056268134346]","[0.45481307729007675, 0.331052187506636, 0.5, 0.9999999950469014, 1.0000000049530982, 0.9999999950401917, -4.959808119764375e-09]"
2645.0,"[51.27740921853674, 4.221595024310283, -84.71822768828017, 0.2810603964279328, -0.2839374455030526, -0.7727284400731779]","[-141.15756704627012, 0.39951898502952987]","[0.4367829875534329, 0.3330372980675952, 0.5, 0.9999999951188717, 1.000000004881128, 0.9999999951085815, -4.8914183814474654e-09]"
2650.0,"[51.27739698542444, 4.221575003617507, -88.69640365864859, 0.22918387361042927, -0.3053590770440634, -0.8229305250450395]","[-129.395176807057, 0.3817976084999531]","[0.41417171080951326, 0.33552679672795693, 0.5, 0.9999999951150361, 1.0000000048849635, 0.9999999951050385, -4.894961341023979e-09]"
2655.0,"[51.27738291386748, 4.221559920997331, -92.91658700215885, 0.18399854020398274, -0.32649174204412945, -0.8690822665835887]","[-117.59164569717079, 0.3747696898365809]","[0.38301293239583384, 0.33895737422244615, 0.5, 0.9999999951102188, 1.000000004889781, 0.9999999951005917, -4.89940826004747e-09]"
2660.0,"[51.27736736216227, 4.2215496731030555, -97.35789615234788, 0.1463666013932994, -0.3460927959649166, -0.9079906436537226]","[-106.5503403549788, 0.3757704158422246]","[0.33963986928154705, 0.34373274289100053, 0.5, 0.9999999951035446, 0.9500000048897811, 0.9999999950944575, 0.04999999510059171]"
2665.0,"[51.277351105267236, 4.221543956716262, -101.6961621724533, 0.11484079788834427, -0.33823323505521197, -0.7715263479004966]","[-97.65937887508755, 0.3571976065926895]","[0.2913205415504546, 0.3505133127308424, 0.5, 0.9999999950979472, 0.4500000048897809, 0.9999999950859718, 0.5499999951005918]"
2670.0,"[51.277336110749765, 4.2215415358506885, -104.81809687696811, 0.09137582473673855, -0.2876820555555248, -0.41371837449435733]","[-92.97792341194528, 0.30184516963995167]","[0.2297349124558769, 0.35840738516954385, 0.5, 0.9999999950840658, 0.05000000488978085, 0.9999999950737789, 0.949999995100592]"
